"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"360","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56303",NA,"AHY","2",21.4,94,15.9,20,30.2,"900",NA,NA,9.7917
"361","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56304",NA,"AHY","3",21.7,97,17.9,20.8,38,"900",NA,NA,16.6515
"362","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56305",NA,"AHY","4",21.6,97,17.2,20.6,37.6,"900",NA,NA,16.2515
"363","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56306",NA,"AHY","2",NA,92,15.9,19.4,29.9,"900",NA,NA,10.1185
"364","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56307","72","AHY","1",21.5,95,14.8,18.2,28.2,"900",NA,NA,7.4783
"365","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56308","76","AHY","2",20.8,93,14.6,17.2,26.3,"900",NA,NA,6.2051
"366","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56309",NA,"AHY","4",21.6,98,16.6,21,36.2,"900",NA,NA,14.5381
"367","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56310",NA,"AHY","4",20.1,93,16.1,20.3,34.2,"900",NA,NA,14.1051
"368","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56311",NA,"AHY","0.5",20.9,94,16.3,19.6,24.5,"900",NA,NA,4.0917
"369","Holbt - Popham","8/10/2015","Popham Beach","SEPL","2571-56312",NA,"AHY","2",22.4,117,8.9,13.3,45.7,"900",NA,NA,NA
"370","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56313",NA,"AHY","2",21.2,97,13.4,18.9,31.6,"900",NA,NA,10.2515
"371","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56314","78","AHY","1",20.8,95,15.6,19.7,26.4,"900",NA,NA,5.6783
"372","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56315","77","AHY","2",20.5,93,13.9,17,30.1,"900",NA,NA,10.0051
"373","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56316",NA,"AHY","2",21.4,93,14.1,18,26.7,"900",NA,NA,6.6051
"374","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56317",NA,"AHY","3",21.5,97,18,22.8,34.1,"900",NA,NA,12.7515
"375","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56318",NA,"AHY","3",22.5,99,17,21.3,33.4,"900",NA,NA,11.4247
"376","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56319","79","HY","0.5",20.3,94,14,17.3,22.1,"900",NA,NA,1.6917
"377","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56320",NA,"AHY","2",21.9,99,16.3,20.5,32,"900",NA,NA,10.0247
"378","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56321",NA,"AHY","4",22,94,17.2,20.3,39.1,"900",NA,NA,18.6917
"379","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56322","268","AHY","1",21.2,96,15.6,20.4,21.7,"900",NA,NA,0.664899999999999
"380","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56323",NA,"AHY","2",22.8,95,16.1,19.6,29.4,"900",NA,NA,8.6783
"381","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56324",NA,"AHY","1",21.8,93,15.5,19,29.3,"900",NA,NA,9.2051
